insert into Customer (CustomerID, FirstName, MiddleName, LastName, EmailAddress, ContactNumber) values (1, 'Llywellyn', null, 'Furphy', 'lfurphy0@cnn.com', '+48 (152) 900-9528');
insert into Customer (CustomerID, FirstName, MiddleName, LastName, EmailAddress, ContactNumber) values (2, 'Jasmina', 'Fleckness', 'Eakly', 'jeakly1@odnoklassniki.ru', '+7 (952) 191-1074');
insert into Customer (CustomerID, FirstName, MiddleName, LastName, EmailAddress, ContactNumber) values (3, 'Mathilde', 'Yoxall', 'Blakeney', 'mblakeney2@bravesites.com', '+420 (718) 504-1813');
insert into Customer (CustomerID, FirstName, MiddleName, LastName, EmailAddress, ContactNumber) values (4, 'Bale', null, 'Chartman', 'bchartman3@studiopress.com', '+1 (258) 963-0996');
insert into Customer (CustomerID, FirstName, MiddleName, LastName, EmailAddress, ContactNumber) values (5, 'Mendy', null, 'Doubleday', 'mdoubleday4@buzzfeed.com', '+267 (323) 391-0843');
insert into Customer (CustomerID, FirstName, MiddleName, LastName, EmailAddress, ContactNumber) values (6, 'Yoshiko', 'Gumn', 'Maunders', 'ymaunders5@wikipedia.org', '+33 (725) 504-1813');
insert into Customer (CustomerID, FirstName, MiddleName, LastName, EmailAddress, ContactNumber) values (7, 'Florian', 'Coolson', 'Wilder', 'fwilder6@tinypic.com', '+380 (984) 113-2502');
insert into Customer (CustomerID, FirstName, MiddleName, LastName, EmailAddress, ContactNumber) values (8, 'Tori', null, 'Dregan', 'tdregan7@businessinsider.com', '+62 (343) 599-3068');
insert into Customer (CustomerID, FirstName, MiddleName, LastName, EmailAddress, ContactNumber) values (9, 'Karoline', 'Paylor', 'Kelmere', 'kkelmere8@de.vu', '+86 (832) 418-3526');
insert into Customer (CustomerID, FirstName, MiddleName, LastName, EmailAddress, ContactNumber) values (10, 'Zola', null, 'Marunchak', 'zmarunchak9@lulu.com', '+46 (930) 230-9284');
insert into Customer (CustomerID, FirstName, MiddleName, LastName, EmailAddress, ContactNumber) values (11, 'Tulley', 'Garter', 'Keynes', 'tkeynesa@biblegateway.com', '+1 (360) 735-1424');
insert into Customer (CustomerID, FirstName, MiddleName, LastName, EmailAddress, ContactNumber) values (12, 'Isabella', 'Vankeev', 'Bourthoumieux', 'ibourthoumieuxb@stumbleupon.com', '+48 (904) 591-0056');
insert into Customer (CustomerID, FirstName, MiddleName, LastName, EmailAddress, ContactNumber) values (13, 'Gaven', null, 'Bent', 'gbentc@tinypic.com', '+86 (182) 127-8301');
insert into Customer (CustomerID, FirstName, MiddleName, LastName, EmailAddress, ContactNumber) values (14, 'Ivan', 'Dulieu', 'Gathercoal', 'igathercoald@1und1.de', '+502 (435) 322-0977');
insert into Customer (CustomerID, FirstName, MiddleName, LastName, EmailAddress, ContactNumber) values (15, 'Dunstan', null, 'Forber', 'dforbere@spiegel.de', '+86 (579) 373-4819');
insert into Customer (CustomerID, FirstName, MiddleName, LastName, EmailAddress, ContactNumber) values (16, 'Cassandra', 'Lowdyane', 'Rushby', 'crushbyf@bloglines.com', '+86 (982) 700-2269');
insert into Customer (CustomerID, FirstName, MiddleName, LastName, EmailAddress, ContactNumber) values (17, 'Merrel', 'Iacofo', 'Cleminshaw', 'mcleminshawg@accuweather.com', '+86 (936) 452-8297');
insert into Customer (CustomerID, FirstName, MiddleName, LastName, EmailAddress, ContactNumber) values (18, 'Ronald', 'Guidera', 'Goding', 'rgodingh@shareasale.com', '+7 (838) 696-6555');
insert into Customer (CustomerID, FirstName, MiddleName, LastName, EmailAddress, ContactNumber) values (19, 'Bella', null, 'Dockrey', 'bdockreyi@wired.com', '+63 (878) 478-5754');
insert into Customer (CustomerID, FirstName, MiddleName, LastName, EmailAddress, ContactNumber) values (20, 'Madelene', null, 'Wolfart', 'mwolfartj@1688.com', '+86 (363) 376-9041');
insert into Customer (CustomerID, FirstName, MiddleName, LastName, EmailAddress, ContactNumber) values (21, 'Talyah', 'Mongeot', 'Kabsch', 'tkabschk@clickbank.net', '+62 (681) 821-3206');
insert into Customer (CustomerID, FirstName, MiddleName, LastName, EmailAddress, ContactNumber) values (22, 'Gratia', null, 'Moens', 'gmoensl@ft.com', '+27 (973) 651-8838');
insert into Customer (CustomerID, FirstName, MiddleName, LastName, EmailAddress, ContactNumber) values (23, 'Weber', 'Sprigin', 'McCaghan', 'wmccaghanm@biglobe.ne.jp', '+66 (569) 822-8690');
insert into Customer (CustomerID, FirstName, MiddleName, LastName, EmailAddress, ContactNumber) values (24, 'Aprilette', 'Jakubczyk', 'Markl', 'amarkln@unblog.fr', '+351 (763) 891-1748');
insert into Customer (CustomerID, FirstName, MiddleName, LastName, EmailAddress, ContactNumber) values (25, 'Marylynne', null, 'Lyles', 'mlyleso@businesswire.com', '+351 (446) 915-0268');
insert into Customer (CustomerID, FirstName, MiddleName, LastName, EmailAddress, ContactNumber) values (26, 'Valera', null, 'Gothup', 'vgothupp@pinterest.com', '+66 (195) 643-9038');
insert into Customer (CustomerID, FirstName, MiddleName, LastName, EmailAddress, ContactNumber) values (27, 'Peg', 'Neave', 'Chastand', 'pchastandq@tuttocitta.it', '+62 (261) 382-2691');
insert into Customer (CustomerID, FirstName, MiddleName, LastName, EmailAddress, ContactNumber) values (28, 'Kathrine', 'Vakhlov', 'Peatman', 'kpeatmanr@cdc.gov', '+1 (408) 189-8768');
insert into Customer (CustomerID, FirstName, MiddleName, LastName, EmailAddress, ContactNumber) values (29, 'Hanan', null, 'Merrigans', 'hmerriganss@patch.com', '+86 (326) 449-8421');
insert into Customer (CustomerID, FirstName, MiddleName, LastName, EmailAddress, ContactNumber) values (30, 'Tome', 'Bouette', 'Kyffin', 'tkyffint@vimeo.com', '+86 (654) 880-5708');
insert into Customer (CustomerID, FirstName, MiddleName, LastName, EmailAddress, ContactNumber) values (31, 'Catlee', null, 'Mulvihill', 'cmulvihillu@ning.com', '+62 (546) 212-8955');
insert into Customer (CustomerID, FirstName, MiddleName, LastName, EmailAddress, ContactNumber) values (32, 'Clarabelle', null, 'Reagan', 'creaganv@fda.gov', '+1 (539) 705-6151');
insert into Customer (CustomerID, FirstName, MiddleName, LastName, EmailAddress, ContactNumber) values (33, 'Othilie', null, 'Childe', 'ochildew@chron.com', '+7 (905) 317-1323');
insert into Customer (CustomerID, FirstName, MiddleName, LastName, EmailAddress, ContactNumber) values (34, 'Aurea', 'Henker', 'Shepstone', 'ashepstonex@jugem.jp', '+55 (413) 837-4251');
insert into Customer (CustomerID, FirstName, MiddleName, LastName, EmailAddress, ContactNumber) values (35, 'Dana', null, 'Cansdall', 'dcansdally@fda.gov', '+375 (131) 333-2704');
insert into Customer (CustomerID, FirstName, MiddleName, LastName, EmailAddress, ContactNumber) values (36, 'Ade', null, 'Zoephel', 'azoephelz@arstechnica.com', '+385 (808) 899-4065');
insert into Customer (CustomerID, FirstName, MiddleName, LastName, EmailAddress, ContactNumber) values (37, 'Hercules', null, 'Gayden', 'hgayden10@facebook.com', '+86 (358) 891-6900');
insert into Customer (CustomerID, FirstName, MiddleName, LastName, EmailAddress, ContactNumber) values (38, 'Selma', 'Venable', 'Bloom', 'sbloom11@fc2.com', '+269 (414) 273-3138');
insert into Customer (CustomerID, FirstName, MiddleName, LastName, EmailAddress, ContactNumber) values (39, 'Stanwood', 'Hovert', 'Pozzi', 'spozzi12@hhs.gov', '+351 (744) 374-4051');
insert into Customer (CustomerID, FirstName, MiddleName, LastName, EmailAddress, ContactNumber) values (40, 'Avril', 'Chant', 'Eyer', 'aeyer13@gov.uk', '+86 (262) 300-2956');
